transaction_id,customer_id,product_name,category,quantity,price,total_amount,sale_date,salesperson,region,discount_percent,payment_method,status
TXN_000001,CUST_00912,Router,Electronics,8,728.71,5829.68,2020-01-03,Eve Wilson,West,8.9,Bank Transfer,Refunded
TXN_000002,CUST_01079,Headphones,Electronics,2,1616.41,3232.82,2022-03-09,Carol Davis,South,19.8,PayPal,Cancelled
TXN_000003,CUST_00112,Webcam,Accessories,4,1875.34,7501.36,2021-06-27,Carol Davis,Central,18.1,Debit Card,Pending
TXN_000004,CUST_00219,Headphones,Networking,10,379.79,3797.9,2023-07-14,David Brown,West,5.0,PayPal,Cancelled
TXN_000005,CUST_00479,Smartphone,Peripherals,8,-100.0,-800.0,2021-05-09, Alice Johnson ,North,,Bank Transfer,Refunded
TXN_000006,CUST_00681,Keyboard,Networking,3,798.37,2395.11,2022-03-06,carol davis,East,,PayPal,Refunded
TXN_000007,CUST_00616,Printer,Networking,10,1185.97,11859.7,2022-11-07,Carol Davis,South,3.2,Credit Card,Refunded
TXN_000008,CUST_00960,Laptop,Electronics,4,633.27,2533.08,2021-09-26,Eve Wilson,North,3.1,Credit Card,Refunded
TXN_000009,CUST_00219,Router,Networking,1,57.02,57.02,2020-07-09,Carol Davis,East,17.8,PayPal,Cancelled
TXN_000010,CUST_00466,Headphones,Computers,9,1133.64,10202.76,2022-04-13,Carol Davis,Central,,PayPal,Completed
TXN_000011,CUST_00433,Headphones,Accessories,1,1516.69,1516.69,2021-09-29,Eve Wilson,South,12.1,Cash,Pending
TXN_000012,CUST_00791,Smartphone,Peripherals,8,1988.95,15911.6,2021-03-19,Eve Wilson,South,14.9,Debit Card,Pending
TXN_000013,CUST_01148,Mouse,Peripherals,6,0.0,0.0,2023-06-27,Bob Smith,West,19.9,Cash,Completed
TXN_000014,CUST_00495,Keyboard,Peripherals,2,968.39,1936.78,2023-06-01, David Brown ,North,16.8,Credit Card,Refunded
TXN_000015,CUST_00469,Mouse,Networking,2,251.66,503.32,2020-10-06,carol davis,Central,5.6,Cash,Cancelled
TXN_000016,CUST_00806,Keyboard,Networking,10,1195.98,11959.8,2020-02-01,Alice Johnson,East,0.1,Debit Card,Pending
TXN_000017,CUST_00514,Tablet,Networking,2,1971.27,3942.54,2022-03-25,Eve Wilson,South,25.6,Credit Card,Cancelled
TXN_000018,CUST_00049,Router,Computers,1,1336.95,1336.95,2020-08-15,alice johnson,North,25.4,PayPal,Pending
TXN_000019,CUST_01151,Keyboard,Accessories,1000,1033.4,1033400.0000000001,2020-10-12, Alice Johnson ,Central,19.7,Debit Card,Cancelled
TXN_000020,CUST_00769,Router,Peripherals,9,961.36,8652.24,2021-02-06,bob smith,East,14.8,PayPal,Pending
TXN_000021,CUST_00846,Mouse,Accessories,2,261.63,523.26,2020-05-27,Eve Wilson,North,22.5,Bank Transfer,Refunded
TXN_000022,CUST_00589,Smartphone,Networking,4,319.53,1278.12,2022-04-26,Carol Davis,West,12.7,Debit Card,Cancelled
TXN_000023,CUST_00136,Monitor,Networking,1,303.21,303.21,2023-03-28,Alice Johnson,South,,Debit Card,Pending
TXN_000024,CUST_00824,Webcam,Electronics,10,1170.51,11705.1,2023-05-24,Eve Wilson,South,,Cash,Pending
TXN_000025,CUST_00849,Keyboard,Accessories,9,1923.25,17309.25,2023-07-13,David Brown,West,26.2,Credit Card,Completed
TXN_000026,CUST_00634,Headphones,Computers,5,1417.99,7089.95,2020-02-20,Carol Davis,East,10.4,Credit Card,Refunded
TXN_000027,CUST_00342,Webcam,Peripherals,10,1845.37,18453.699999999997,2023-03-27, Alice Johnson ,East,,Debit Card,Refunded
TXN_000028,CUST_00345,Smartphone,Networking,7,54.75,383.25,2020-10-25,Bob Smith,Central,,Debit Card,Cancelled
TXN_000029,CUST_00706,Router,Peripherals,8,462.48,3699.84,2022-07-21,Eve Wilson,West,,Cash,Cancelled
TXN_000030,CUST_00139,Router,Computers,8,179.82,1438.56,2020-05-11,David Brown,West,21.3,PayPal,Pending
TXN_000031,CUST_00728,Monitor,Networking,2,735.89,1471.78,2023-02-11,Carol Davis,South,0.4,Credit Card,Cancelled
TXN_000032,CUST_00815,Headphones,Electronics,9,1160.29,10442.61,2020-12-06,Carol Davis,Central,28.8,Debit Card,Completed
TXN_000033,CUST_00081,Webcam,Peripherals,2,888.34,1776.68,2022-05-24,Carol Davis,East,0.1,Debit Card,Completed
TXN_000034,CUST_00132,Router,Networking,9,1094.09,9846.81,2021-06-02,Alice Johnson,West,12.9,Debit Card,Refunded
TXN_000035,CUST_00669,Smartphone,Computers,6,191.84,1151.04,2023-12-23,alice johnson,North,3.4,Cash,Cancelled
TXN_000036,CUST_00264,Tablet,Networking,4,35.6,142.4,2022-05-06,Alice Johnson,South,4.6,Bank Transfer,Pending
TXN_000037,CUST_00006,Headphones,Accessories,5,919.22,4596.1,2021-02-23,Eve Wilson,Central,28.7,Credit Card,Completed
TXN_000038,CUST_00852,Monitor,Computers,7,1673.94,11717.58,2022-08-23,carol davis,North,8.4,Cash,Completed
TXN_000039,CUST_00039,Monitor,Electronics,5,18.53,92.65,2023-11-05,Eve Wilson,East,3.0,Credit Card,Refunded
TXN_000040,CUST_00834,Keyboard,Computers,7,348.21,2437.47,2020-01-08,Eve Wilson,East,24.5,Bank Transfer,Refunded
TXN_000041,CUST_01174,Monitor,Electronics,4,1674.55,6698.2,2023-12-21,Carol Davis,South,23.8,Bank Transfer,Completed
TXN_000042,CUST_00665,Printer,Peripherals,8,1275.56,10204.48,2021-04-26,Carol Davis,East,12.1,Cash,Pending
TXN_000043,CUST_00746,Laptop,Electronics,6,1635.97,9815.82,2021-10-16,Eve Wilson,West,16.3,Bank Transfer,Pending
TXN_000044,CUST_00824,Laptop,Computers,8,1179.25,9434.0,2021-05-02,Alice Johnson,Central,,Bank Transfer,Completed
TXN_000045,CUST_00965,Smartphone,Peripherals,5,271.18,1355.9,2023-06-01,Bob Smith,East,10.9,Debit Card,Completed
TXN_000046,CUST_00668,Mouse,Peripherals,6,1203.17,7219.02,2020-06-29,Alice Johnson,Central,,Debit Card,Completed
TXN_000047,CUST_00626,Mouse,Networking,3,507.73,1523.19,2023-10-30,alice johnson,Central,26.8,Cash,Refunded
TXN_000048,CUST_00080,Smartphone,Accessories,3,1555.41,4666.2300000000005,2021-02-16,David Brown,West,27.5,Debit Card,Cancelled
TXN_000049,CUST_00940,Monitor,Electronics,9,1777.36,15996.24,2023-04-16, Eve Wilson ,West,27.1,Credit Card,Pending
TXN_000050,CUST_01172,Router,Networking,10,219.21,2192.1,2021-11-03,David Brown,South,20.3,Bank Transfer,Cancelled
TXN_000051,CUST_00299,Printer,Accessories,9,1029.08,9261.72,2022-11-15,Alice Johnson,South,,PayPal,Refunded
